"table-cell href","table-cell-value","subdomain","table-cell-value 2","table-cell-desc 2"
"https://fragment.com/username/start","@start","start","140,000","18 Dec 2022 at 23:18"
"https://fragment.com/username/scores","@scores","scores","138,000","12 Dec 2022 at 04:32"
"https://fragment.com/username/aero","@aero","aero","137,000","15 Dec 2022 at 23:24"
"https://fragment.com/username/football","@football","football","137,000","11 Nov 2022 at 16:35"
"https://fragment.com/username/payme","@payme","payme","137,000","22 Nov 2022 at 23:41"
"https://fragment.com/username/union","@union","union","137,000","22 Dec 2022 at 04:47"
"https://fragment.com/username/poker","@poker","poker","136,500","18 Nov 2022 at 02:35"
"https://fragment.com/username/usdc","@usdc","usdc","136,000","6 Dec 2022 at 10:24"
"https://fragment.com/username/checkup","@checkup","checkup","135,000","24 Nov 2022 at 19:14"
"https://fragment.com/username/home","@home","home","135,000","20 Nov 2022 at 12:25"
"https://fragment.com/username/alphabet","@alphabet","alphabet","134,000","20 Nov 2022 at 21:38"
"https://fragment.com/username/listing","@listing","listing","134,000","10 Dec 2022 at 20:14"
"https://fragment.com/username/hack","@hack","hack","133,000","10 Dec 2022 at 04:13"
"https://fragment.com/username/bets","@bets","bets","130,000","18 Nov 2022 at 10:15"
"https://fragment.com/username/gbots","@gbots","gbots","130,000","12 Nov 2022 at 21:25"
"https://fragment.com/username/name","@name","name","130,000","19 Nov 2022 at 23:33"
"https://fragment.com/username/paybox","@paybox","paybox","130,000","6 Dec 2022 at 03:13"
"https://fragment.com/username/putin","@putin","putin","130,000","18 Nov 2022 at 01:30"
"https://fragment.com/username/queen","@queen","queen","128,000","3 Dec 2022 at 23:36"
"https://fragment.com/username/beer","@beer","beer","127,000","19 Nov 2022 at 00:31"
"https://fragment.com/username/date","@date","date","127,000","7 Dec 2022 at 23:48"
"https://fragment.com/username/offer","@offer","offer","127,000","12 Dec 2022 at 04:28"
"https://fragment.com/username/data","@data","data","126,000","19 Nov 2022 at 22:38"
"https://fragment.com/username/food","@food","food","126,000","2 Jan 2023 at 01:39"
"https://fragment.com/username/dice","@dice","dice","125,000","19 Dec 2022 at 07:46"
"https://fragment.com/username/jets","@jets","jets","125,000","19 Nov 2022 at 00:29"
"https://fragment.com/username/property","@property","property","125,000","6 Dec 2022 at 12:07"
"https://fragment.com/username/deal","@deal","deal","122,000","18 Nov 2022 at 14:44"
"https://fragment.com/username/host","@host","host","120,000","7 Dec 2022 at 23:49"
"https://fragment.com/username/armani","@armani","armani","115,000","3 Nov 2022 at 00:50"
"https://fragment.com/username/dior","@dior","dior","115,000","3 Nov 2022 at 00:50"
"https://fragment.com/username/fast","@fast","fast","114,000","15 Dec 2022 at 21:51"
"https://fragment.com/username/middleman","@middleman","middleman","110,250","28 Jul 2023 at 10:33"
"https://fragment.com/username/empire","@empire","empire","110,000","6 Dec 2022 at 18:33"
"https://fragment.com/username/story","@story","story","107,000","26 Dec 2022 at 12:10"
"https://fragment.com/username/trust","@trust","trust","107,000","12 Dec 2022 at 04:30"
"https://fragment.com/username/oracle","@oracle","oracle","106,000","22 Nov 2022 at 22:42"
"https://fragment.com/username/betting","@betting","betting","105,000","10 Nov 2022 at 04:18"
"https://fragment.com/username/token","@token","token","105,000","25 Feb 2024 at 08:03"
"https://fragment.com/username/xxxx","@xxxx","xxxx","105,000","5 Dec 2022 at 18:53"
"https://fragment.com/username/ebank","@ebank","ebank","104,000","10 Nov 2022 at 14:04"
"https://fragment.com/username/live","@live","live","104,000","17 Nov 2022 at 03:41"
"https://fragment.com/username/beta","@beta","beta","103,000","29 Dec 2022 at 09:52"
"https://fragment.com/username/doha","@doha","doha","103,000","19 Nov 2022 at 19:38"
"https://fragment.com/username/busd","@busd","busd","101,000","22 Dec 2022 at 05:00"
"https://fragment.com/username/anime","@anime","anime","100,000","13 Mar 2024 at 12:13"
"https://fragment.com/username/canon","@canon","canon","100,000","4 Nov 2022 at 18:19"
"https://fragment.com/username/club","@club","club","100,000","18 Nov 2022 at 11:57"
"https://fragment.com/username/crew","@crew","crew","100,000","19 Nov 2022 at 04:36"
"https://fragment.com/username/dogecoin","@dogecoin","dogecoin","100,000","4 Nov 2022 at 03:16"
"https://fragment.com/username/elon","@elon","elon","100,000","3 Nov 2022 at 22:02"
"https://fragment.com/username/huobi","@huobi","huobi","100,000","3 Nov 2022 at 11:21"
"https://fragment.com/username/list","@list","list","100,000","12 Dec 2022 at 04:40"
"https://fragment.com/username/porn","@porn","porn","100,000","18 Nov 2022 at 01:58"
"https://fragment.com/username/psychopath","@psychopath","psychopath","100,000","25 Dec 2025 at 07:50"
"https://fragment.com/username/english","@english","english","98,000","5 Nov 2022 at 00:55"
"https://fragment.com/username/gain","@gain","gain","98,000","19 Nov 2022 at 04:36"
"https://fragment.com/username/pc28","@pc28","pc28","97,241","12 Dec 2022 at 02:59"
"https://fragment.com/username/coke","@coke","coke","97,000","17 Dec 2022 at 23:02"
"https://fragment.com/username/earn","@earn","earn","96,000","18 Nov 2022 at 14:45"
"https://fragment.com/username/volvo","@volvo","volvo","96,000","12 Dec 2022 at 01:39"
"https://fragment.com/username/csgo","@csgo","csgo","95,000","3 Dec 2022 at 14:50"
"https://fragment.com/username/lottery","@lottery","lottery","95,000","20 Nov 2022 at 13:54"
